"statistikkvariabel";"1902";"1912";"1922";"1932";"1942";"1952";"1962";"1972";"1982";"1992";"2002";"2012";"2022"
"Inngåtte ekteskap";14385;14797;17185;17612;0;27499;24070;28596;21706;18627;24069;24346;0
"Skilsmisser";139;490;630;935;1200;2119;2439;4022;7165;10209;10450;9929;0
